,,,,,,,,,,,,
Параметры:,,Период отчета: 02.09.2024 - 05.05.2025,,,,,,,,,,
,,,,,,,,,,,,
Оригинатор,,,Вид сельскохозяйственной культуры,,Сорт,Заявление,Свидетельство,,,Основание,,Статус
,,,,,,,"(номер, дата выдачи, подписано)",,,"(наличие, тип основания, номер основания)",,
,,,,,МАС 39 ВСК,Заявление об исключении оригинатора из Государственного реестра 000000160 от 22.01.2025 10:50:21,Свидетельство оригинатора №2024-013170 от 27.01.2012 на сорт МАС 39 ВСК,,,,,Исключен
,,,,,,,2024-013170,27.01.2012,,,,
,,,,,МАС 47 П,Заявление об исключении оригинатора из Государственного реестра 000000161 от 22.01.2025 11:00:22,Свидетельство оригинатора №2024-011781 от 25.01.2011 на сорт МАС 47 П,,,,,Исключен
,,,,,,,2024-011781,25.01.2011,,,,
,,,,,МАС 56А,Заявление об исключении оригинатора из Государственного реестра 000000163 от 22.01.2025 11:12:21,Свидетельство оригинатора №2024-019712 от 14.03.2018 на сорт МАС 56А,,,,,Исключен
,,,,,,,2024-019712,14.03.2018,,,,
,,,,,СВЕТЛАНА,Заявление об исключении оригинатора из Государственного реестра 000000162 от 22.01.2025 11:06:22,Свидетельство оригинатора №2024-025498 от 23.01.2020 на сорт СВЕТЛАНА,,,,,Исключен
,,,,,,,2024-025498,23.01.2020,,,,
"SAATBAU LINZ EGEN (SCHIRMERSTRASSE 19, 4060 LEONDING, AUSTRIA)",,,,,,,,,,,,
,,,Рапс яровой,,,,,,,,,
,,,,,КЛЕОПАТРА,Заявление об исключении оригинатора из Государственного реестра 000000068 от 06.11.2024 11:06:53,Свидетельство оригинатора №2024-034868 от 23.04.2020 на сорт КЛЕОПАТРА,,,,,Исключен
,,,,,,,2024-034868,23.04.2020,,,,
МАРИН ИГОРЬ ВИКТОРОВИЧ,,,,,,,,,,,,
,,,Подсолнечник,,,,,,,,,
,,,,,АМПИР,Заявление об исключении оригинатора из Государственного реестра 000000137 от 12.07.2024 0:00:00,Свидетельство оригинатора №2024-026774 от 09.12.2020 на сорт АМПИР,,,,,Исключен
,,,,,,,2024-026774,09.12.2020,,,,
НССС БЕЛКОРН31 ООО,,,,,,,,,,,,
,,,Кукуруза,,,,,,,,,
,,,,,АКЦЕНТ АМВ,Заявление об исключении оригинатора из Государственного реестра 000000150 от 24.12.2024 8:49:07,Свидетельство оригинатора №2025-000078 от 05.08.2024 на сорт АКЦЕНТ АМВ,,,,,Исключен
,,,,,,,2025-000078,05.08.2024,,,,
,,,,,АКЦЕНТ МВ,Заявление об исключении оригинатора из Государственного реестра 000000140 от 24.12.2024 8:19:06,Свидетельство оригинатора №2025-000070 от 02.08.2024 на сорт АКЦЕНТ МВ,,,,,Исключен
,,,,,,,2025-000070,02.08.2024,,,,
,,,,,БЕЛКОРН 277 СВ,Заявление об исключении оригинатора из Государственного реестра 000000139 от 23.12.2024 16:43:15,Свидетельство оригинатора №2025-000068 от 02.08.2024 на сорт БЕЛКОРН 277 СВ,,,,,Исключен
,,,,,,,2025-000068,02.08.2024,,,,
,,,,,МУСТАНГ МВ,Заявление об исключении оригинатора из Государственного реестра 000000147 от 24.12.2024 8:41:07,Свидетельство оригинатора №2025-000074 от 02.08.2024 на сорт МУСТАНГ МВ,,,,,Исключен
,,,,,,,2025-000074,02.08.2024,,,,
,,,,,ПРОГНОЗ 152 СВ,Заявление об исключении оригинатора из Государственного реестра 000000142 от 24.12.2024 8:29:06,Свидетельство оригинатора №2025-000065 от 02.08.2024 на сорт ПРОГНОЗ 152 СВ,,,,,Исключен
,,,,,,,2025-000065,02.08.2024,,,,
,,,,,ТИТУЛ МВ,Заявление об исключении оригинатора из Государственного реестра 000000151 от 24.12.2024 8:53:08,Свидетельство оригинатора №2025-000067 от 02.08.2024 на сорт ТИТУЛ МВ,,,,,Исключен
,,,,,,,2025-000067,02.08.2024,,,,
,,,Пшеница мягкая озимая,,,,,,,,,
,,,,,ОДЕССКАЯ 267,Заявление об исключении оригинатора из Государственного реестра 000000141 от 24.12.2024 8:25:07,Свидетельство оригинатора №2025-000066 от 02.08.2024 на сорт ОДЕССКАЯ 267,,,,,Исключен
,,,,,,,2025-000066,02.08.2024,,,,
ООО 'АРЕКЕТ РУС',,,,,,,,,,,,
,,,Подсолнечник,,,,,,,,,
,,,,,ШАНТАРАМ,Заявление об исключении оригинатора из Государственного реестра 000000136 от 10.12.2024 10:59:50,Свидетельство оригинатора №2024-029143 от 21.01.2022 на сорт ШАНТАРАМ,,,,,Исключен
,,,,,,,2024-029143,21.01.2022,,,,
ADVANTA SEED INTERNATIONAL,,,,,,,,,,,,
,,,Подсолнечник,,,,,,,,,
,,,,,15538М,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036500 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000989 от 04.02.2025 на сорт 15538М,,,,,Включен
