,,,,,,,,,,,,
Параметры:,,Период отчета: 02.09.2024 - 05.05.2025,,,,,,,,,,
,,,,,,,,,,,,
Оригинатор,,,Вид сельскохозяйственной культуры,,Сорт,Заявление,Свидетельство,,,Основание,,Статус
,,,,,,,"(номер, дата выдачи, подписано)",,,"(наличие, тип основания, номер основания)",,
,,,,,,,2025-000890,04.02.2025,,,,
,,,,,323,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036483 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000972 от 04.02.2025 на сорт 323,,,,,Включен
,,,,,,,2025-000972,04.02.2025,,,,
,,,,,325-7/09,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036408 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000897 от 04.02.2025 на сорт 325-7/09,,,,,Включен
,,,,,,,2025-000897,04.02.2025,,,,
,,,,,325/09,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036396 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000885 от 04.02.2025 на сорт 325/09,,,,,Включен
,,,,,,,2025-000885,04.02.2025,,,,
,,,,,328/10,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036405 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000894 от 04.02.2025 на сорт 328/10,,,,,Включен
,,,,,,,2025-000894,04.02.2025,,,,
,,,,,330/09,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036386 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000875 от 04.02.2025 на сорт 330/09,,,,,Включен
,,,,,,,2025-000875,04.02.2025,,,,
,,,,,331/09,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036387 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000876 от 04.02.2025 на сорт 331/09,,,,,Включен
,,,,,,,2025-000876,04.02.2025,,,,
,,,,,3372/10,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036402 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000891 от 04.02.2025 на сорт 3372/10,,,,,Включен
,,,,,,,2025-000891,04.02.2025,,,,
,,,,,355/01-1,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036397 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000886 от 04.02.2025 на сорт 355/01-1,,,,,Включен
,,,,,,,2025-000886,04.02.2025,,,,
,,,,,355/01-2,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036391 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000880 от 04.02.2025 на сорт 355/01-2,,,,,Включен
,,,,,,,2025-000880,04.02.2025,,,,
,,,,,391,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036458 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000947 от 04.02.2025 на сорт 391,,,,,Включен
,,,,,,,2025-000947,04.02.2025,,,,
,,,,,3951/10,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036389 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000878 от 04.02.2025 на сорт 3951/10,,,,,Включен
,,,,,,,2025-000878,04.02.2025,,,,
,,,,,397/10,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036398 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000887 от 04.02.2025 на сорт 397/10,,,,,Включен
,,,,,,,2025-000887,04.02.2025,,,,
,,,,,554/15,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036411 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000900 от 04.02.2025 на сорт 554/15,,,,,Включен
,,,,,,,2025-000900,04.02.2025,,,,
,,,,,567/18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036410 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000899 от 04.02.2025 на сорт 567/18,,,,,Включен
,,,,,,,2025-000899,04.02.2025,,,,
,,,,,605,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036403 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000892 от 04.02.2025 на сорт 605,,,,,Включен
,,,,,,,2025-000892,04.02.2025,,,,
,,,,,641-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036409 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000898 от 04.02.2025 на сорт 641-18,,,,,Включен
,,,,,,,2025-000898,04.02.2025,,,,
,,,,,89/12,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036400 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000889 от 04.02.2025 на сорт 89/12,,,,,Включен
,,,,,,,2025-000889,04.02.2025,,,,
,,,,,ДК8/528,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036394 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000883 от 04.02.2025 на сорт ДК8/528,,,,,Включен
,,,,,,,2025-000883,04.02.2025,,,,
,,,,,Л-07-14К,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036596 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001085 от 04.02.2025 на сорт Л-07-14К,,,,,Включен
,,,,,,,2025-001085,04.02.2025,,,,
,,,,,Л-14-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036585 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001074 от 04.02.2025 на сорт Л-14-18,,,,,Включен
,,,,,,,2025-001074,04.02.2025,,,,
,,,,,Л-15-17У,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036545 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001034 от 04.02.2025 на сорт Л-15-17У,,,,,Включен
,,,,,,,2025-001034,04.02.2025,,,,
,,,,,Л-193/19,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036484 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000973 от 04.02.2025 на сорт Л-193/19,,,,,Включен
,,,,,,,2025-000973,04.02.2025,,,,
,,,,,Л-200/19,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036597 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001086 от 04.02.2025 на сорт Л-200/19,,,,,Включен
,,,,,,,2025-001086,04.02.2025,,,,
,,,,,Л-24-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036568 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001057 от 04.02.2025 на сорт Л-24-18,,,,,Включен
,,,,,,,2025-001057,04.02.2025,,,,
,,,,,Л-245/18М,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036578 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001067 от 04.02.2025 на сорт Л-245/18М,,,,,Включен
,,,,,,,2025-001067,04.02.2025,,,,
,,,,,Л-26-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036575 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001064 от 04.02.2025 на сорт Л-26-18,,,,,Включен
,,,,,,,2025-001064,04.02.2025,,,,
,,,,,Л-26/19,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036576 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001065 от 04.02.2025 на сорт Л-26/19,,,,,Включен
,,,,,,,2025-001065,04.02.2025,,,,
,,,,,Л-28-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036485 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000974 от 04.02.2025 на сорт Л-28-18,,,,,Включен
,,,,,,,2025-000974,04.02.2025,,,,
,,,,,Л-373-16,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036549 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001038 от 04.02.2025 на сорт Л-373-16,,,,,Включен
,,,,,,,2025-001038,04.02.2025,,,,
,,,,,Л-42-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036553 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001042 от 04.02.2025 на сорт Л-42-18,,,,,Включен
,,,,,,,2025-001042,04.02.2025,,,,
,,,,,Л-46-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036540 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001029 от 04.02.2025 на сорт Л-46-18,,,,,Включен
,,,,,,,2025-001029,04.02.2025,,,,
,,,,,Л-466-15,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036562 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001051 от 04.02.2025 на сорт Л-466-15,,,,,Включен
,,,,,,,2025-001051,04.02.2025,,,,
,,,,,Л-485-15,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036564 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001053 от 04.02.2025 на сорт Л-485-15,,,,,Включен
,,,,,,,2025-001053,04.02.2025,,,,
,,,,,Л-5-95/19,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036582 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001071 от 04.02.2025 на сорт Л-5-95/19,,,,,Включен
,,,,,,,2025-001071,04.02.2025,,,,
,,,,,Л-52-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036542 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001031 от 04.02.2025 на сорт Л-52-18,,,,,Включен
,,,,,,,2025-001031,04.02.2025,,,,
,,,,,Л-57/19,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036550 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001039 от 04.02.2025 на сорт Л-57/19,,,,,Включен
,,,,,,,2025-001039,04.02.2025,,,,
,,,,,Л-63-19П,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036579 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001068 от 04.02.2025 на сорт Л-63-19П,,,,,Включен
,,,,,,,2025-001068,04.02.2025,,,,
,,,,,Л-65/19-1,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036572 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001061 от 04.02.2025 на сорт Л-65/19-1,,,,,Включен
,,,,,,,2025-001061,04.02.2025,,,,
,,,,,Л-66/19,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036477 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000966 от 04.02.2025 на сорт Л-66/19,,,,,Включен
,,,,,,,2025-000966,04.02.2025,,,,
,,,,,Л-84/19,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036591 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001080 от 04.02.2025 на сорт Л-84/19,,,,,Включен
,,,,,,,2025-001080,04.02.2025,,,,
,,,,,Л-9-16/17,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036577 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001066 от 04.02.2025 на сорт Л-9-16/17,,,,,Включен
,,,,,,,2025-001066,04.02.2025,,,,
,,,,,Л-92-18,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036454 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000943 от 04.02.2025 на сорт Л-92-18,,,,,Включен
,,,,,,,2025-000943,04.02.2025,,,,
,,,,,Л210,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036456 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000945 от 04.02.2025 на сорт Л210,,,,,Включен
,,,,,,,2025-000945,04.02.2025,,,,
,,,,,Л225,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036592 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001081 от 04.02.2025 на сорт Л225,,,,,Включен
,,,,,,,2025-001081,04.02.2025,,,,
,,,,,Л249,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036586 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001075 от 04.02.2025 на сорт Л249,,,,,Включен
,,,,,,,2025-001075,04.02.2025,,,,
,,,,,Л297,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036552 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001041 от 04.02.2025 на сорт Л297,,,,,Включен
,,,,,,,2025-001041,04.02.2025,,,,
,,,,,Л306,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036573 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001062 от 04.02.2025 на сорт Л306,,,,,Включен
,,,,,,,2025-001062,04.02.2025,,,,
,,,,,Л310,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036566 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001055 от 04.02.2025 на сорт Л310,,,,,Включен
,,,,,,,2025-001055,04.02.2025,,,,
,,,,,Л316,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036584 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001073 от 04.02.2025 на сорт Л316,,,,,Включен
,,,,,,,2025-001073,04.02.2025,,,,
,,,,,Л33П,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036544 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001033 от 04.02.2025 на сорт Л33П,,,,,Включен
,,,,,,,2025-001033,04.02.2025,,,,
,,,,,Л385,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036583 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001072 от 04.02.2025 на сорт Л385,,,,,Включен
,,,,,,,2025-001072,04.02.2025,,,,
,,,,,Л38П,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036590 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001079 от 04.02.2025 на сорт Л38П,,,,,Включен
,,,,,,,2025-001079,04.02.2025,,,,
,,,,,Л403,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036480 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000969 от 04.02.2025 на сорт Л403,,,,,Включен
,,,,,,,2025-000969,04.02.2025,,,,
,,,,,Л404,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036487 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000976 от 04.02.2025 на сорт Л404,,,,,Включен
,,,,,,,2025-000976,04.02.2025,,,,
,,,,,Л409,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036560 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001049 от 04.02.2025 на сорт Л409,,,,,Включен
,,,,,,,2025-001049,04.02.2025,,,,
,,,,,Л430,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036547 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001036 от 04.02.2025 на сорт Л430,,,,,Включен
,,,,,,,2025-001036,04.02.2025,,,,
,,,,,Л460,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036543 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001032 от 04.02.2025 на сорт Л460,,,,,Включен
,,,,,,,2025-001032,04.02.2025,,,,
,,,,,Л465,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036598 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001087 от 04.02.2025 на сорт Л465,,,,,Включен
,,,,,,,2025-001087,04.02.2025,,,,
,,,,,Л469/160,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036407 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000896 от 04.02.2025 на сорт Л469/160,,,,,Включен
,,,,,,,2025-000896,04.02.2025,,,,
,,,,,Л470/159,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036406 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000895 от 04.02.2025 на сорт Л470/159,,,,,Включен
,,,,,,,2025-000895,04.02.2025,,,,
,,,,,Л500,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036565 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001054 от 04.02.2025 на сорт Л500,,,,,Включен
,,,,,,,2025-001054,04.02.2025,,,,
,,,,,Л502,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036563 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001052 от 04.02.2025 на сорт Л502,,,,,Включен
,,,,,,,2025-001052,04.02.2025,,,,
,,,,,Л521,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036580 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001069 от 04.02.2025 на сорт Л521,,,,,Включен
,,,,,,,2025-001069,04.02.2025,,,,
,,,,,Л522,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036404 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000893 от 04.02.2025 на сорт Л522,,,,,Включен
,,,,,,,2025-000893,04.02.2025,,,,
,,,,,Л547,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036486 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000975 от 04.02.2025 на сорт Л547,,,,,Включен
,,,,,,,2025-000975,04.02.2025,,,,
,,,,,Л57П,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036561 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001050 от 04.02.2025 на сорт Л57П,,,,,Включен
,,,,,,,2025-001050,04.02.2025,,,,
,,,,,Л58П,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036588 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001077 от 04.02.2025 на сорт Л58П,,,,,Включен
,,,,,,,2025-001077,04.02.2025,,,,
,,,,,Л653,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036570 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001059 от 04.02.2025 на сорт Л653,,,,,Включен
,,,,,,,2025-001059,04.02.2025,,,,
,,,,,Л74П,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036453 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000942 от 04.02.2025 на сорт Л74П,,,,,Включен
,,,,,,,2025-000942,04.02.2025,,,,
,,,,,Л7511,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036452 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000941 от 04.02.2025 на сорт Л7511,,,,,Включен
,,,,,,,2025-000941,04.02.2025,,,,
,,,,,Л794,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036482 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000971 от 04.02.2025 на сорт Л794,,,,,Включен
,,,,,,,2025-000971,04.02.2025,,,,
,,,,,Л88,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036593 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001082 от 04.02.2025 на сорт Л88,,,,,Включен
,,,,,,,2025-001082,04.02.2025,,,,
,,,,,Л91/12,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036399 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000888 от 04.02.2025 на сорт Л91/12,,,,,Включен
,,,,,,,2025-000888,04.02.2025,,,,
,,,,,Л97,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036571 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001060 от 04.02.2025 на сорт Л97,,,,,Включен
,,,,,,,2025-001060,04.02.2025,,,,
,,,,,ЛМ-01-30,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036557 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001046 от 04.02.2025 на сорт ЛМ-01-30,,,,,Включен
,,,,,,,2025-001046,04.02.2025,,,,
,,,,,ЛМ-03-15,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036555 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001044 от 04.02.2025 на сорт ЛМ-03-15,,,,,Включен
,,,,,,,2025-001044,04.02.2025,,,,
,,,,,ЛМ-03-17,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036546 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001035 от 04.02.2025 на сорт ЛМ-03-17,,,,,Включен
,,,,,,,2025-001035,04.02.2025,,,,
,,,,,ЛМ-04-15,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036455 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000944 от 04.02.2025 на сорт ЛМ-04-15,,,,,Включен
,,,,,,,2025-000944,04.02.2025,,,,
,,,,,ЛМ-08-35,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036574 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001063 от 04.02.2025 на сорт ЛМ-08-35,,,,,Включен
,,,,,,,2025-001063,04.02.2025,,,,
,,,,,ЛМ-11-10,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036541 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001030 от 04.02.2025 на сорт ЛМ-11-10,,,,,Включен
,,,,,,,2025-001030,04.02.2025,,,,
,,,,,ЛМ-12-07,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036556 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001045 от 04.02.2025 на сорт ЛМ-12-07,,,,,Включен
,,,,,,,2025-001045,04.02.2025,,,,
,,,,,ЛМ-12-15,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036479 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000968 от 04.02.2025 на сорт ЛМ-12-15,,,,,Включен
,,,,,,,2025-000968,04.02.2025,,,,
,,,,,ЛМ-30-75,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036478 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000967 от 04.02.2025 на сорт ЛМ-30-75,,,,,Включен
,,,,,,,2025-000967,04.02.2025,,,,
,,,,,ЛП-01-15,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036589 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001078 от 04.02.2025 на сорт ЛП-01-15,,,,,Включен
,,,,,,,2025-001078,04.02.2025,,,,
,,,,,ЛП-02-11,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036554 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001043 от 04.02.2025 на сорт ЛП-02-11,,,,,Включен
,,,,,,,2025-001043,04.02.2025,,,,
,,,,,ЛП-03-7,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036569 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001058 от 04.02.2025 на сорт ЛП-03-7,,,,,Включен
,,,,,,,2025-001058,04.02.2025,,,,
,,,,,ЛП-07-09,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036595 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001084 от 04.02.2025 на сорт ЛП-07-09,,,,,Включен
,,,,,,,2025-001084,04.02.2025,,,,
,,,,,ЛП-07-11,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036481 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000970 от 04.02.2025 на сорт ЛП-07-11,,,,,Включен
,,,,,,,2025-000970,04.02.2025,,,,
,,,,,ЛП-07-15,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036567 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001056 от 04.02.2025 на сорт ЛП-07-15,,,,,Включен
,,,,,,,2025-001056,04.02.2025,,,,
,,,,,ЛП-08-12,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036488 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000977 от 04.02.2025 на сорт ЛП-08-12,,,,,Включен
,,,,,,,2025-000977,04.02.2025,,,,
,,,,,ЛП-11-27,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036559 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001048 от 04.02.2025 на сорт ЛП-11-27,,,,,Включен
,,,,,,,2025-001048,04.02.2025,,,,
,,,,,ЛП-11-40,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036551 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001040 от 04.02.2025 на сорт ЛП-11-40,,,,,Включен
,,,,,,,2025-001040,04.02.2025,,,,
,,,,,ЛП-17-40,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036558 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001047 от 04.02.2025 на сорт ЛП-17-40,,,,,Включен
,,,,,,,2025-001047,04.02.2025,,,,
,,,,,ЛП-349,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036587 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001076 от 04.02.2025 на сорт ЛП-349,,,,,Включен
,,,,,,,2025-001076,04.02.2025,,,,
,,,,,ПК/279-10,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036395 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000884 от 04.02.2025 на сорт ПК/279-10,,,,,Включен
,,,,,,,2025-000884,04.02.2025,,,,
,,,,,Т 023 1,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036581 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001070 от 04.02.2025 на сорт Т 023 1,,,,,Включен
,,,,,,,2025-001070,04.02.2025,,,,
,,,,,Т 203 5,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036594 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001083 от 04.02.2025 на сорт Т 203 5,,,,,Включен
,,,,,,,2025-001083,04.02.2025,,,,
,,,,,Т-105-23,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036457 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000946 от 04.02.2025 на сорт Т-105-23,,,,,Включен
,,,,,,,2025-000946,04.02.2025,,,,
,,,,,Т-204-2,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036548 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-001037 от 04.02.2025 на сорт Т-204-2,,,,,Включен
,,,,,,,2025-001037,04.02.2025,,,,
Гавриков Алексей Николаевич,,,,,,,,,,,,
,,,Капуста белокочанная,,,,,,,,,
,,,,,ГОЛЛИВУД,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036026 от 02.09.2024 0:00:00,Свидетельство оригинатора №2025-000517 от 02.09.2024 на сорт ГОЛЛИВУД,,,,,Включен
,,,,,,,2025-000517,02.09.2024,,,,
ГАРАЕВ АЛЕКСАНДР АНДРЕЕВИЧ,,,,,,,,,,,,
,,,Батат,,,,,,,,,
,,,,,БЛИК,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036380 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000869 от 04.02.2025 на сорт БЛИК,,,,,Включен
,,,,,,,2025-000869,04.02.2025,,,,
,,,,,КАРАТ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000036352 от 04.02.2025 0:00:00,Свидетельство оригинатора №2025-000841 от 04.02.2025 на сорт КАРАТ,,,,,Включен
,,,,,,,2025-000841,04.02.2025,,,,
